time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-31T17:35:21.760Z,-30.2118,-179.1441,310.32,4.1,mb,,147,1.43,0.82,us,us1000az72,2018-01-24T01:25:01.040Z,"137km N of L'Esperance Rock, New Zealand",earthquake,18.3,14.6,0.158,11,reviewed,us,us
2017-10-31T17:27:33.230Z,37.9086667,-119.3181667,3.86,1.24,md,19,251,0.1801,0.08,nc,nc72916691,2017-11-01T03:37:03.436Z,"29km NE of Yosemite Valley, California",earthquake,1.08,8.84,0.155,14,reviewed,nc,nc
2017-10-31T17:23:27.690Z,43.45,-122.9441667,-0.48,1.44,ml,5,263,0.1314,0.16,uw,uw61324247,2017-10-31T18:18:53.470Z,"20km NE of Glide, Oregon",explosion,1.63,31.61,0.04,3,reviewed,uw,uw
2017-10-31T17:20:16.218Z,53.4926,-167.0272,71.6,2,ml,,,,0.22,ak,ak17131648,2017-11-03T10:14:35.931Z,"53km SW of Unalaska, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-10-31T17:18:38.983Z,37.9621,-118.6608,7.4,0.5,ml,9,131.19,0.138,0.0997,nn,nn00611040,2017-10-31T17:58:11.979Z,"44km NE of Mammoth Lakes, California",earthquake,,6.4,0.22,3,reviewed,nn,nn
2017-10-31T17:16:27.830Z,33.6251667,-116.6755,13.15,0.46,ml,13,92,0.06931,0.1,ci,ci38034080,2017-10-31T17:25:58.167Z,"8km N of Anza, CA",earthquake,0.34,0.68,0.078,4,reviewed,ci,ci
2017-10-31T17:14:08.710Z,46.1753,142.1335,10,4.4,mb,,107,0.895,0.77,us,us1000az6p,2018-01-24T01:25:01.040Z,"35km SE of Shebunino, Russia",earthquake,5.2,1.8,0.064,70,reviewed,us,us
2017-10-31T17:13:32.170Z,40.9308333,-122.3985,14.41,1.9,md,23,55,0.2008,0.13,nc,nc72916686,2017-11-07T23:05:02.478Z,"27km N of Shasta Lake, California",earthquake,0.3,1.27,0.132,23,reviewed,nc,nc
2017-10-31T17:02:47.583Z,60.6125,-142.8882,6.3,2.1,ml,,,,1.01,ak,ak17131632,2017-11-01T01:05:28.930Z,"65km NNW of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-31T17:02:16.374Z,61.2797,-146.9766,10.3,3.5,ml,,,,0.59,ak,ak17131625,2018-01-24T01:25:01.040Z,"37km WNW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
